date,close
2014-07-01,38392.9764
2014-07-02,38281.8708
2014-07-03,38526.9962
2014-07-07,38305.2797
2014-07-08,38025.1596
2014-07-09,38238.0339
2014-07-10,38029.4191
2014-07-11,38090.8404
2014-07-14,38259.4586
2014-07-15,38153.3625
2014-07-16,38226.9679
2014-07-17,37857.5225
2014-07-18,38233.189
2014-07-21,38128.4384
2014-07-22,38410.0838
2014-07-23,38498.3084
2014-07-24,38537.1457
2014-07-25,38361.0291
2014-07-28,38332.1657
2014-07-29,38160.2943
2014-07-30,38219.3459
2014-07-31,37499.3369
2014-08-01,37563.5647
2014-08-04,37738.1056
2014-08-05,37419.7401
2014-08-06,37386.9028
2014-08-07,37122.6489
2014-08-08,37587.7566
2014-08-11,37699.6964
2014-08-12,37603.3834
2014-08-13,37880.6895
2014-08-14,38059.4595
2014-08-15,38031.6784
2014-08-18,38395.6124
2014-08-19,38559.6481
2014-08-20,38673.9407
2014-08-21,38723.2376
2014-08-22,38641.6557
2014-08-25,38824.9894
2014-08-26,38868.7786
2014-08-27,38815.0114
2014-08-28,38763.3511
2014-08-29,38880.9733
2014-09-02,38923.8888
2014-09-03,38900.4629
2014-09-04,38836.2765
2014-09-05,38979.715299999996
2014-09-08,38878.4239
2014-09-09,38563.1111
2014-09-10,38653.2709
2014-09-11,38666.8531
2014-09-12,38392.8069
2014-09-15,38286.617
2014-09-16,38585.9871
2014-09-17,38622.0259
2014-09-18,38800.193
2014-09-19,38734.8415
2014-09-22,38312.6056
2014-09-23,38065.3636
2014-09-24,38437.8173
2014-09-25,37859.4658
2014-09-26,38167.4853
2014-09-29,38100.3262
2014-09-30,37948.2558
2014-10-01,37431.0949
2014-10-02,37470.5791
2014-10-03,37893.9371
2014-10-06,37761.7165
2014-10-07,37152.0087
2014-10-08,37772.6603
2014-10-09,37004.4675
2014-10-10,36513.4054
2014-10-13,35846.7264
2014-10-14,36045.2803
2014-10-15,35904.7509
2014-10-16,36065.1002
2014-10-17,36483.6775
2014-10-20,36863.9155
2014-10-21,37633.4091
2014-10-22,37304.736
2014-10-23,37828.5385
2014-10-24,38070.5535
2014-10-27,38061.9018
2014-10-28,38563.0831
2014-10-29,38562.3288
2014-10-30,39052.095
2014-10-31,39250.4842
2014-11-03,39216.3032
2014-11-04,38984.1201
2014-11-05,39131.909999999996
2014-11-06,39344.1014
2014-11-07,39334.2826
2014-11-10,39511.2377
2014-11-11,39607.7463
2014-11-12,39566.9177
2014-11-13,39549.6609
2014-11-14,39512.3003
2014-11-17,39505.5061
2014-11-18,39753.0331
2014-11-19,39717.5393
2014-11-20,39789.1066
2014-11-21,40006.8018
2014-11-24,40192.8984
2014-11-25,40178.5708
2014-11-26,40206.1269
2014-11-28,40146.4015
2014-12-01,39794.5269
2014-12-02,40044.3485
2014-12-03,40267.5332
2014-12-04,40248.5494
2014-12-05,40261.4512
2014-12-08,40014.6378
2014-12-09,40097.8228
2014-12-10,39438.100099999996
2014-12-11,39636.7078
2014-12-12,39080.4829
2014-12-15,38838.9917
2014-12-16,38479.5102
2014-12-17,39301.5298
2014-12-18,40165.3641
2014-12-19,40362.2322
2014-12-22,40565.6288
2014-12-23,40622.2206
2014-12-24,40645.8161
2014-12-26,40765.1108
2014-12-29,40850.9575
2014-12-30,40633.5493
2014-12-31,40253.3903
2015-01-02,40340.0311
2015-01-05,39633.6175
2015-01-06,39255.4869
2015-01-07,39774.9393
2015-01-08,40423.8198
2015-01-09,40114.9275
2015-01-12,39810.8729
2015-01-13,39734.2966
2015-01-14,39559.521
2015-01-15,39213.0737
2015-01-16,39753.5569
2015-01-20,39799.8045
2015-01-21,40045.3991
2015-01-22,40637.5213
2015-01-23,40480.4561
2015-01-26,40669.5079
2015-01-27,40275.7097
2015-01-28,39757.015
2015-01-29,40113.3868
2015-01-30,39659.8434
2015-02-02,40030.1116
2015-02-03,40586.6431
2015-02-04,40344.1115
2015-02-05,40747.5181
2015-02-06,40513.5956
2015-02-09,40286.2789
2015-02-10,40752.6342
2015-02-11,40731.8954
2015-02-12,41132.3756
2015-02-13,41302.2804
2015-02-17,41347.6635
2015-02-18,41438.2008
2015-02-19,41544.0731
2015-02-20,41822.3872
2015-02-23,41819.8444
2015-02-24,41845.1204
2015-02-25,41897.3341
2015-02-26,41806.9381
2015-02-27,41679.0386
2015-03-02,42006.7304
2015-03-03,41826.4747
2015-03-04,41606.2672
2015-03-05,41777.893
2015-03-06,41152.764
2015-03-09,41136.9427
2015-03-10,40501.3789
2015-03-11,40504.5521
2015-03-12,41050.5163
2015-03-13,40820.7483
2015-03-16,41417.5662
2015-03-17,41299.4064
2015-03-18,41805.252
2015-03-19,41708.7761
2015-03-20,42114.9397
2015-03-23,42171.1428
2015-03-24,41953.0265
2015-03-25,41296.0137
2015-03-26,41223.0096
2015-03-27,41407.4747
2015-03-30,41899.4104
2015-03-31,41592.775
2015-04-01,41392.8904
2015-04-02,41514.9608
2015-04-06,41814.264
2015-04-07,41659.6553
2015-04-08,41873.3679
2015-04-09,41954.1649
2015-04-10,42099.6615
2015-04-13,41936.0826
2015-04-14,41972.1625
2015-04-15,42108.5591
2015-04-16,42090.3465
2015-04-17,41599.8598
2015-04-20,41952.8624
2015-04-21,41982.5847
2015-04-22,42086.5155
2015-04-23,42228.9831
2015-04-24,42248.8278
2015-04-27,41988.4602
2015-04-28,41963.851
2015-04-29,41726.6747
2015-04-30,41284.2973
2015-05-01,41781.2038
2015-05-04,41927.1265
2015-05-05,41389.2112
2015-05-06,41292.4414
2015-05-07,41467.239
2015-05-08,41955.2599
2015-05-11,41772.3291
2015-05-12,41649.6359
2015-05-13,41604.9007
2015-05-14,42025.213
2015-05-15,42090.9767
2015-05-18,42273.3984
2015-05-19,42262.7561
2015-05-20,42225.6751
2015-05-21,42332.2648
2015-05-22,42264.9999
2015-05-26,41831.2259
2015-05-27,42158.7033
2015-05-28,42079.0432
2015-05-29,41812.1656
2015-06-01,41913.2763
2015-06-02,41910.7929
2015-06-03,41977.2056
2015-06-04,41643.2203
2015-06-05,41639.2072
2015-06-08,41341.2414
2015-06-09,41318.9925
2015-06-10,41783.2194
2015-06-11,41897.5111
2015-06-12,41648.1925
2015-06-15,41460.2781
2015-06-16,41671.745
2015-06-17,41774.7117
2015-06-18,42217.0618
2015-06-19,42064.7748
2015-06-22,42250.4246
2015-06-23,42240.4272
2015-06-24,41947.2438
2015-06-25,41855.8095
2015-06-26,41857.3339
2015-06-29,40950.7951
2015-06-30,41146.851
2015-07-01,41400.5267
2015-07-02,41361.673
2015-07-06,41327.4387
2015-07-07,41630.5471
2015-07-08,40923.4862
2015-07-09,41072.3632
2015-07-10,41585.503
2015-07-13,42062.7112
2015-07-14,42252.8347
2015-07-15,42146.1213
2015-07-16,42435.0701
2015-07-17,42538.4916
2015-07-20,42546.3106
2015-07-21,42334.4047
2015-07-22,42418.954
2015-07-23,42178.7192
2015-07-24,41672.669
2015-07-27,41423.4084
2015-07-28,41912.4452
2015-07-29,42259.5799
2015-07-30,42317.0168
2015-07-31,42357.5046
2015-08-03,42288.6116
2015-08-04,42351.8789
2015-08-05,42652.0503
2015-08-06,42312.2095
2015-08-07,42198.2373
2015-08-10,42664.0462
2015-08-11,42415.1024
2015-08-12,42414.2473
2015-08-13,42410.8677
2015-08-14,42590.4835
2015-08-17,42861.8312
2015-08-18,42774.4887
2015-08-19,42508.7787
2015-08-20,41592.3659
2015-08-21,40363.7968
2015-08-24,38751.2613
2015-08-25,38301.0231
2015-08-26,39639.382
2015-08-27,40576.9305
2015-08-28,40601.5606
2015-08-31,40185.9088
2015-09-01,39106.4358
2015-09-02,39841.9012
2015-09-03,39898.2518
2015-09-04,39349.241200000004
2015-09-08,40351.9899
2015-09-09,39844.368
2015-09-10,39983.3605
2015-09-11,40208.0692
2015-09-14,40016.6782
2015-09-15,40516.1128
